sku,product_name,voltage,insulation,core_count,cross_section_mm2,armor,standard,conductor_material,base_price
CAB_0001,1-core 2.5mm² EPR Insulated Aluminum Armored Cable (Aluminum),3.3kV,EPR,1,2.5,Aluminum,IEEE 1202,Aluminum,106.95
CAB_0002,3-core 1.5mm² PVC Insulated Steel Armored Cable (Copper),3.3kV,PVC,3,1.5,Steel,IEEE 1202,Copper,28.56
CAB_0003,4-core 6.0mm² XLPE Insulated Aluminum Armored Cable (Copper),3.3kV,XLPE,4,6.0,Aluminum,IEEE 1202,Copper,308.6
CAB_0004,5-core 6.0mm² PVC Insulated Copper Armored Cable (Copper),1.1/2kV,PVC,5,6.0,Copper,BS 5467,Copper,211.63
CAB_0005,1-core 6.0mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/0.9kV,XLPE,1,6.0,Steel,BS 5467,Aluminum,89.08
CAB_0006,5-core 16.0mm² XLPE Insulated None Armored Cable (Copper),0.6/0.9kV,XLPE,5,16.0,None,BS 5467,Copper,397.2
CAB_0007,5-core 2.5mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/0.9kV,XLPE,5,2.5,Steel,IS 7098,Aluminum,74.91
CAB_0008,2-core 10.0mm² EPR Insulated Aluminum Armored Cable (Aluminum),0.6/0.9kV,EPR,2,10.0,Aluminum,IS 1554,Aluminum,234.98
CAB_0009,1-core 6.0mm² EPR Insulated Aluminum Armored Cable (Copper),3.3kV,EPR,1,6.0,Aluminum,IEC 60502,Copper,272.65
CAB_0010,5-core 1.5mm² PVC Insulated None Armored Cable (Aluminum),1.1/2kV,PVC,5,1.5,None,IEEE 1202,Aluminum,37.13
CAB_0011,5-core 0.5mm² XLPE Insulated Aluminum Armored Cable (Aluminum),1.1/2kV,XLPE,5,0.5,Aluminum,IS 7098,Aluminum,3.36
CAB_0012,3-core 4.0mm² EPR Insulated Steel Armored Cable (Aluminum),6.6kV,EPR,3,4.0,Steel,IEC 60502,Aluminum,149.9
CAB_0013,3-core 1.0mm² EPR Insulated Copper Armored Cable (Copper),1.1/2kV,EPR,3,1.0,Copper,IS 1554,Copper,7.36
CAB_0014,1-core 10.0mm² EPR Insulated Steel Armored Cable (Copper),1.1/2kV,EPR,1,10.0,Steel,IEEE 1202,Copper,706.05
CAB_0015,3-core 1.5mm² EPR Insulated Steel Armored Cable (Copper),0.6/0.9kV,EPR,3,1.5,Steel,IEC 60502,Copper,47.14
CAB_0016,4-core 4.0mm² PVC Insulated Copper Armored Cable (Copper),6.6kV,PVC,4,4.0,Copper,BS 5467,Copper,210.47
CAB_0017,2-core 16.0mm² EPR Insulated None Armored Cable (Aluminum),1.1/2kV,EPR,2,16.0,None,IS 1554,Aluminum,389.68
CAB_0018,3-core 10.0mm² EPR Insulated Steel Armored Cable (Copper),0.6/0.9kV,EPR,3,10.0,Steel,IEC 60502,Copper,166.17
CAB_0019,2-core 4.0mm² PVC Insulated Copper Armored Cable (Aluminum),1.1/2kV,PVC,2,4.0,Copper,IS 7098,Aluminum,20.62
CAB_0020,1-core 10.0mm² PVC Insulated Aluminum Armored Cable (Aluminum),0.6/0.9kV,PVC,1,10.0,Aluminum,IEEE 1202,Aluminum,327.34
CAB_0021,3-core 0.5mm² EPR Insulated None Armored Cable (Aluminum),0.6/1kV,EPR,3,0.5,None,IEEE 1202,Aluminum,23.79
CAB_0022,5-core 10.0mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/1kV,XLPE,5,10.0,Steel,IS 7098,Aluminum,64.15
CAB_0023,1-core 2.5mm² XLPE Insulated None Armored Cable (Copper),6.6kV,XLPE,1,2.5,None,IS 7098,Copper,79.86
CAB_0024,2-core 1.0mm² PVC Insulated None Armored Cable (Aluminum),6.6kV,PVC,2,1.0,None,BS 5467,Aluminum,5.13
CAB_0025,4-core 6.0mm² XLPE Insulated Copper Armored Cable (Copper),1.1/2kV,XLPE,4,6.0,Copper,IEC 60502,Copper,259.87
CAB_0026,7-core 4.0mm² XLPE Insulated Copper Armored Cable (Copper),6.6kV,XLPE,7,4.0,Copper,BS 5467,Copper,123.72
CAB_0027,7-core 1.5mm² EPR Insulated Copper Armored Cable (Aluminum),0.6/1kV,EPR,7,1.5,Copper,IEC 60502,Aluminum,17.18
CAB_0028,5-core 2.5mm² XLPE Insulated Aluminum Armored Cable (Copper),6.6kV,XLPE,5,2.5,Aluminum,IS 7098,Copper,102.16
CAB_0029,7-core 1.5mm² PVC Insulated Aluminum Armored Cable (Copper),6.6kV,PVC,7,1.5,Aluminum,IS 1554,Copper,111.14
CAB_0030,3-core 1.0mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/1kV,XLPE,3,1.0,Steel,IEEE 1202,Aluminum,8.69
